estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,arquetipo_ganador,n_arquetipos,n_efectivo,codigos_arquetipos,p_valor_bootstrap_arquetipo,ratio_replicacion,dsr,holdout_pct,pct_dias_gana_segmento,kill_switch_1_0,ev_historico_cop_kwh,supera_capacidad_1_0,mae_f1_promedio_pp,candidata_1_0,valida_cheap_1_0
2016-06-24,2016-09-21,2016-09-22,2016-09-28,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,1.025,1.0,,28.6,0,72.93,1,,0,0
2016-07-24,2016-10-21,2016-10-22,2016-10-28,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Trader no regulado",0.005,0.964,1.0,,100.0,0,68.04,0,,0,0
2016-07-24,2016-10-21,2016-10-22,2016-10-28,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,0.965,1.0,,100.0,0,68.04,0,,1,1
2016-07-24,2016-10-21,2016-10-22,2016-10-28,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,0.886,1.0,,100.0,0,61.65,1,,0,0
2016-08-23,2016-11-20,2016-11-21,2016-11-27,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,1.166,1.0,,71.4,0,78.94,0,,1,1
2016-08-23,2016-11-20,2016-11-21,2016-11-27,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Trader no regulado",0.005,1.079,1.0,,85.7,0,73.62,0,,0,0
2016-08-23,2016-11-20,2016-11-21,2016-11-27,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,1.047,1.0,,14.3,0,68.57,1,,0,0
2016-09-22,2016-12-20,2016-12-21,2016-12-27,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,1.318,1.0,,100.0,0,89.02,0,,1,1
2016-09-22,2016-12-20,2016-12-21,2016-12-27,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Trader no regulado",0.01,1.158,1.0,,100.0,0,79.1,0,,0,0
2016-09-22,2016-12-20,2016-12-21,2016-12-27,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,1.071,1.0,,42.9,0,71.08,1,,0,0
2016-10-22,2017-01-19,2017-01-20,2017-01-26,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,1.098,1.0,,100.0,0,91.64,0,,1,1
2016-10-22,2017-01-19,2017-01-20,2017-01-26,MEDIANO,Comercializador regulado,2,2,"Comercializador regulado,Trader no regulado",1.0,0.994,1.0,,100.0,0,71.7,0,,0,0
2016-10-22,2017-01-19,2017-01-20,2017-01-26,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,0.988,1.0,,0.0,0,68.37,1,,0,0
2016-11-21,2017-02-18,2017-02-19,2017-02-25,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,0.682,0.995,,85.7,0,62.71,0,,1,1
2016-11-21,2017-02-18,2017-02-19,2017-02-25,MEDIANO,Comercializador regulado,2,2,"Trader no regulado,Trader no regulado",1.0,0.85,1.0,,100.0,0,62.71,0,,0,0
2016-11-21,2017-02-18,2017-02-19,2017-02-25,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,0.837,1.0,,100.0,0,56.97,1,,0,0
2016-12-21,2017-03-20,2017-03-21,2017-03-27,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,1.087,1.0,,100.0,0,93.93,0,,1,1
2016-12-21,2017-03-20,2017-03-21,2017-03-27,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,1.02,1.0,,57.1,0,67.91,1,,0,0
2016-12-21,2017-03-20,2017-03-21,2017-03-27,MEDIANO,Comercializador regulado,2,2,"Trader no regulado,Trader no regulado",1.0,1.02,1.0,,100.0,0,71.85,0,,0,0
